,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.7178,0.4786,2.5245,2.4643,2.6167,0.4688,2.4328,2.3698,60.2157,61.6257,60.8711,100.0,0.0,0.0,0.0,0.0,64.9748
en_XX_tr_TR_mono_10,3.3539,0.627,3.0722,3.0216,3.2375,0.6172,2.9609,2.9144,60.2774,61.3273,60.7373,98.6458,0.942,0.0102,0.0006,0.4013,53.7041
en_XX_tr_TR_mono_100,15.8972,3.2708,13.7372,13.7095,15.8361,3.2535,13.6787,13.6573,71.6376,69.1125,70.3106,0.3235,0.0333,0.0,0.0,99.6432,19.2523
en_XX_tr_TR_mono_1000,21.5237,6.16,18.6994,18.6366,21.4339,6.1445,18.6325,18.5656,73.7628,71.4543,72.5424,0.0927,0.0233,0.0,0.0,99.884,20.2672
en_XX_tr_TR_mono_All,25.1839,8.7411,21.7771,21.7461,25.1261,8.7249,21.7462,21.7207,74.5545,73.1569,73.7945,0.0,0.0,0.0,0.0,100.0,22.4966
en_XX_tr_TR_mono_adv_kldivloss,2.7368,0.4611,2.5388,2.4864,2.6346,0.4455,2.4466,2.3895,60.2727,61.7075,60.9401,94.2661,3.3257,2.4083,0.0,0.0,65.3922
en_XX_tr_TR_mono_adv_kldivloss_10,5.5321,0.9919,5.1488,5.07,5.3653,0.9568,4.9699,4.8837,65.9005,61.9326,63.8074,70.1447,1.8804,0.3961,0.1155,27.4633,19.5
en_XX_tr_TR_mono_adv_kldivloss_100,15.8693,3.23,13.722,13.6889,15.808,3.2154,13.6683,13.6339,71.6471,69.2042,70.3597,0.1085,0.0657,0.0097,0.0004,99.8156,19.2947
en_XX_tr_TR_mono_adv_kldivloss_1000,21.188,5.8402,18.2923,18.2028,21.1051,5.8275,18.222,18.1327,73.5668,71.2894,72.3645,0.1104,0.1063,0.0097,0.0004,99.7732,20.0115
en_XX_tr_TR_mono_adv_kldivloss_all,25.0116,8.5586,21.894,21.8458,24.934,8.5386,21.8559,21.8041,74.9478,72.89,73.8527,0.1707,0.0529,0.0,0.0,99.7764,19.8521
en_XX_tr_TR_mono_adv_nll,2.8167,0.4773,2.6068,2.5523,2.7237,0.4654,2.5154,2.4587,60.3694,61.6655,60.9699,99.3119,0.0,0.6881,0.0,0.0,64.8337
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.2609,0.1335,2.07,2.0439,2.0391,0.1317,1.8781,1.852,65.2158,70.4918,67.7101,0.0092,99.9908,0.0,0.0,0.0,62.1703
es_XX_en_XX_mono_10,33.6709,10.6364,26.9676,26.964,32.0153,10.1801,25.8244,25.8223,76.9401,75.824,76.3227,99.4687,0.5018,0.0128,0.0047,0.0121,28.3085
es_XX_en_XX_mono_100,34.5945,11.3119,27.7446,27.746,32.8811,10.8114,26.5351,26.5382,77.4119,76.3561,76.8235,99.6095,0.3556,0.0153,0.0052,0.0144,27.552
es_XX_en_XX_mono_1000,35.6268,12.0177,28.5016,28.4973,33.8484,11.4704,27.2537,27.2524,77.7857,76.7405,77.202,99.7602,0.217,0.0038,0.0091,0.01,27.9866
es_XX_en_XX_mono_10000,37.5741,13.6585,30.3274,30.3221,35.7353,13.0416,29.0169,29.0113,78.6256,77.1799,77.8372,99.7824,0.1975,0.0024,0.006,0.0117,27.1114
es_XX_en_XX_mono_All,39.621,15.495,32.2854,32.2805,37.662,14.7613,30.8601,30.8532,79.2457,77.7697,78.44,99.776,0.1983,0.008,0.0048,0.013,26.6988
es_XX_en_XX_mono_adv_kldivloss,34.1567,10.9764,27.1852,27.19,32.5247,10.5172,26.0873,26.0897,76.6532,76.1644,76.3523,99.5561,0.4317,0.007,0.0001,0.0051,29.9175
es_XX_en_XX_mono_adv_kldivloss_10,34.0311,10.7571,27.0281,27.0286,32.3708,10.2954,25.9014,25.903,76.9689,76.2226,76.5412,99.6484,0.3435,0.0027,0.0001,0.0051,29.3999
es_XX_en_XX_mono_adv_kldivloss_100,34.4658,11.1637,27.5546,27.563,32.7439,10.6654,26.3583,26.3667,77.3156,76.4185,76.8083,99.7149,0.2623,0.0117,0.0006,0.0105,27.9494
es_XX_en_XX_mono_adv_kldivloss_1000,35.674,12.0405,28.533,28.5409,33.9035,11.4999,27.2973,27.302,77.7241,76.8208,77.2136,99.8515,0.1371,0.0014,0.0045,0.0055,28.2883
es_XX_en_XX_mono_adv_kldivloss_10000,37.5,13.6265,30.294,30.2995,35.6599,13.0114,29.0002,29.0047,78.625,77.1986,77.8467,99.7878,0.1874,0.0092,0.0034,0.0121,26.9767
es_XX_en_XX_mono_adv_kldivloss_all,39.4431,15.426,32.1537,32.1514,37.4956,14.6916,30.7335,30.7267,79.2157,77.7621,78.4202,99.8019,0.1833,0.0079,0.0001,0.0068,26.477
es_XX_en_XX_mono_adv_nll,33.1607,10.5157,26.7022,26.6958,31.5816,10.0606,25.6149,25.6092,76.7811,75.5844,76.122,97.8869,2.0896,0.0137,0.0005,0.0093,27.0481
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.5886,0.1153,0.5572,0.5269,0.5845,0.1151,0.5534,0.5228,63.5985,65.5661,64.5372,0.0,100.0,0.0,0.0,0.0,64.283
es_XX_ru_RU_mono_10,15.6803,3.8979,13.3887,13.369,15.6776,3.8965,13.387,13.368,73.9222,71.8252,72.805,0.0,0.0229,99.9771,0.0,0.0,20.1684
es_XX_ru_RU_mono_100,17.8762,4.4396,14.9625,14.941,17.8744,4.4388,14.9616,14.94,74.1659,73.2804,73.671,0.0,0.0,100.0,0.0,0.0,23.9359
es_XX_ru_RU_mono_1000,19.0898,4.948,15.9819,15.9522,19.088,4.948,15.9813,15.9513,74.5729,73.6697,74.0663,0.0,0.0,100.0,0.0,0.0,23.7984
es_XX_ru_RU_mono_10000,20.6812,5.9703,17.5344,17.5127,20.6791,5.9694,17.533,17.511,75.6768,74.17,74.8598,0.0,0.0,100.0,0.0,0.0,22.2158
es_XX_ru_RU_mono_All,22.5267,6.9953,19.2045,19.1952,22.5242,6.9951,19.2022,19.1933,76.5335,74.7958,75.5955,0.0,0.0,100.0,0.0,0.0,21.862
es_XX_ru_RU_mono_adv_kldivloss,17.5937,4.3219,14.5912,14.5791,17.5894,4.3219,14.5896,14.5773,72.9632,72.98,72.9192,0.0229,0.0,99.9771,0.0,0.0,27.2481
es_XX_ru_RU_mono_adv_kldivloss_10,16.9135,4.2006,14.2083,14.2052,16.9098,4.2,14.2073,14.2044,73.3235,73.0043,73.1123,0.0,0.0,100.0,0.0,0.0,24.8688
es_XX_ru_RU_mono_adv_kldivloss_100,18.0845,4.4807,15.1469,15.124,18.0825,4.4789,15.1439,15.122,73.9186,73.4377,73.6274,0.0114,0.0,99.9886,0.0,0.0,24.9615
es_XX_ru_RU_mono_adv_kldivloss_1000,19.2995,5.1429,16.1485,16.1185,19.294,5.1401,16.1452,16.1144,74.5646,73.7901,74.1219,0.0,0.0,100.0,0.0,0.0,24.0435
es_XX_ru_RU_mono_adv_kldivloss_10000,20.7939,6.0495,17.6461,17.6278,20.7926,6.0488,17.6451,17.6267,75.5205,74.2182,74.8078,0.0,0.0,100.0,0.0,0.0,22.5912
es_XX_ru_RU_mono_adv_kldivloss_all,22.6031,6.9659,19.1451,19.1328,22.602,6.9653,19.1434,19.1314,76.159,74.8537,75.444,0.0,0.0,100.0,0.0,0.0,22.9136
es_XX_ru_RU_mono_adv_nll,16.4202,4.0532,13.7699,13.7422,16.4152,4.0525,13.7679,13.7399,72.9146,72.309,72.5569,0.0,1.9871,98.0129,0.0,0.0,25.3538
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.8036,0.1432,0.7559,0.7307,0.7731,0.1414,0.7306,0.7043,60.5463,66.2486,63.2373,0.0,0.0,100.0,0.0,0.0,46.4834
ru_RU_en_XX_mono_10,30.8954,9.7013,25.2571,25.2543,29.3388,9.2519,24.1861,24.1802,77.3425,74.9323,76.0604,99.5948,0.3209,0.0611,0.0006,0.0227,22.9716
ru_RU_en_XX_mono_100,32.9626,10.479,26.4886,26.4804,31.2603,10.0056,25.3227,25.314,77.2129,75.8147,76.4505,99.7347,0.2106,0.034,0.0004,0.0204,25.91
ru_RU_en_XX_mono_1000,33.6267,11.0079,26.9941,26.996,31.8789,10.496,25.7756,25.7791,77.3284,76.1943,76.6994,99.7153,0.2208,0.0371,0.0103,0.0165,26.6618
ru_RU_en_XX_mono_10000,35.302,12.4561,28.7065,28.7052,33.5116,11.906,27.4337,27.4315,78.1532,76.5356,77.2758,99.7093,0.2414,0.0234,0.0003,0.0255,25.2249
ru_RU_en_XX_mono_All,36.646,13.5862,30.0045,30.0036,34.7319,12.9499,28.6283,28.6246,78.6211,76.8857,77.6826,99.7175,0.2434,0.0126,0.0002,0.0262,24.6578
ru_RU_en_XX_mono_adv_kldivloss,32.2554,10.1193,25.5991,25.593,30.7344,9.7111,24.5652,24.5598,75.9713,75.5983,75.7235,99.8595,0.1,0.0277,0.0011,0.0117,30.2572
ru_RU_en_XX_mono_adv_kldivloss_10,31.9805,9.7571,25.6067,25.5917,30.4039,9.3434,24.5223,24.5092,76.8152,75.6393,76.167,99.8594,0.1072,0.0217,0.0001,0.0116,27.3398
ru_RU_en_XX_mono_adv_kldivloss_100,32.9627,10.4506,26.5113,26.4928,31.3377,10.0194,25.3909,25.3742,77.0694,75.8933,76.4201,99.7664,0.1865,0.044,0.0003,0.0028,26.2544
ru_RU_en_XX_mono_adv_kldivloss_1000,33.5518,10.9836,26.9797,26.9765,31.8432,10.4782,25.7755,25.7744,77.3488,76.1743,76.6994,99.7549,0.1964,0.04,0.0005,0.0082,26.4793
ru_RU_en_XX_mono_adv_kldivloss_10000,35.4741,12.5674,28.8098,28.803,33.7171,12.0095,27.5486,27.5425,78.135,76.6047,77.3037,99.7072,0.2538,0.0171,0.0004,0.0216,25.5337
ru_RU_en_XX_mono_adv_kldivloss_all,36.5671,13.524,29.7285,29.7152,34.6901,12.8954,28.3822,28.3706,78.1879,76.9377,77.4968,99.737,0.2345,0.005,0.01,0.0135,26.0009
