,en,es,ru,tr
en_XX,0.9912,0.0049,0.0027,0.0012
es_XX,0.0057,0.9904,0.0029,0.001
ru_RU,0.0039,0.0044,0.9903,0.0014
tr_TR,0.006,0.0045,0.0055,0.984
