,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.3884,17.1981,32.0794,32.0216,38.7748,16.6802,31.171,31.1096,79.29,77.7668,78.486,99.9966,0.0034,0.0,0.0,0.0,18.6723
en_XX_baseline,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,38.979,16.0517,31.0432,30.9976,37.4079,15.552,30.1454,30.0928,79.4212,76.9232,78.1129,99.9964,0.0036,0.0,0.0,0.0,16.9634
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,34.0066,12.9867,25.8279,25.821,32.4448,12.5304,24.9688,24.9616,75.689,72.437,73.9726,0.0,100.0,0.0,0.0,0.0,18.9649
es_XX_tuned_10,29.2288,8.2922,21.1509,21.1544,27.8346,7.9401,20.4502,20.4533,72.299,70.8331,71.5094,0.063,99.937,0.0,0.0,0.0,23.9481
es_XX_tuned_100,30.334,9.1227,22.1279,22.1303,28.8479,8.7649,21.3922,21.3942,72.9565,71.2642,72.0484,0.0,100.0,0.0,0.0,0.0,22.4987
es_XX_tuned_1000,32.1722,10.68,23.7401,23.7367,30.6383,10.2854,22.9431,22.9395,74.0828,71.9055,72.92,0.0,100.0,0.0,0.0,0.0,21.6979
es_XX_tuned_10000,33.4082,11.7731,24.8206,24.8156,31.9218,11.3846,24.0747,24.0695,74.6116,72.2602,73.356,0.0012,99.9988,0.0,0.0,0.0,21.5893
es_XX_zero,8.0507,1.1926,6.3692,6.3627,7.1416,1.1322,5.811,5.8031,64.1002,68.4817,66.1911,99.7708,0.2292,0.0,0.0,0.0,63.4687
es_translated,23.0719,4.5159,16.84,16.8363,21.951,4.28,16.2692,16.2654,68.444,67.7473,68.0544,0.0,100.0,0.0,0.0,0.0,27.2048
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,75.1071,73.4182,74.2057,0.0,0.0,0.0,100.0,0.0,16.4991
gu_IN_multiEnEsRu,13.5146,3.0876,10.6299,10.6588,13.5146,3.0876,10.6299,10.6588,62.0915,70.1519,65.8316,0.0,0.0,0.0,100.0,0.0,66.6919
gu_IN_multiEnEsRu_10,18.8739,5.3242,16.7163,16.7046,18.8739,5.3242,16.7163,16.7046,73.6349,71.8311,72.6795,0.0,0.0,0.0,100.0,0.0,17.0352
gu_IN_multiEnEsRu_100,19.9276,5.9025,17.5146,17.5179,19.9276,5.9025,17.5146,17.5179,73.8847,72.6101,73.1979,0.0,0.0,0.0,100.0,0.0,18.081
gu_IN_multiEnEsRu_1000,20.8154,6.4944,18.3853,18.389,20.8154,6.4944,18.3853,18.389,74.3262,72.9386,73.5793,0.0,0.0,0.0,100.0,0.0,17.0625
gu_IN_tuned_10,17.0352,4.5508,15.2845,15.2635,17.0352,4.5508,15.2845,15.2635,73.1411,70.5876,71.8008,0.0,0.0,0.0,100.0,0.0,15.4727
gu_IN_tuned_100,19.1769,5.4678,17.0116,17.0141,19.1769,5.4678,17.0116,17.0141,73.6627,72.0901,72.8226,0.0,0.0,0.0,100.0,0.0,17.2447
gu_IN_tuned_1000,20.2608,6.3133,17.9591,17.9472,20.2608,6.3133,17.9591,17.9472,74.2086,72.6503,73.3764,0.0,0.0,0.0,100.0,0.0,16.9621
gu_IN_zero,13.4952,2.8199,10.4497,10.4681,13.4952,2.8199,10.4497,10.4681,63.563,70.1617,66.6656,0.088,0.0,0.0,99.912,0.0,53.3055
gu_translated,2.5829,0.3144,2.4259,2.4288,2.5829,0.3144,2.4259,2.4288,64.5358,64.2817,64.3653,2.6405,0.0004,2.4583,94.6294,0.2714,17.0062
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,76.7688,73.5346,75.0569,0.0,0.0,100.0,0.0,0.0,17.8771
ru_RU_multiEnEsRu,34.9192,15.1969,28.1649,28.1571,27.4457,12.09,23.3367,23.3259,76.7471,73.2929,74.9186,0.0,0.0,100.0,0.0,0.0,17.2445
ru_RU_tuned_10,29.4057,9.9802,22.9309,22.9274,22.0999,7.3226,18.2506,18.2427,74.685,71.3309,72.9196,0.0,0.0,100.0,0.0,0.0,17.2831
ru_RU_tuned_100,30.2535,10.777,23.2971,23.2953,23.0094,8.0689,18.7379,18.7337,74.0396,72.2351,73.0773,0.0,0.0,100.0,0.0,0.0,20.4033
ru_RU_tuned_1000,30.9269,11.4932,23.8317,23.8243,23.7743,8.7952,19.3228,19.3114,73.6631,72.7426,73.1452,0.0,0.0,100.0,0.0,0.0,22.4974
ru_RU_tuned_10000,31.5211,12.1739,24.3477,24.3395,24.552,9.4335,19.9559,19.9446,73.4139,73.1859,73.2454,0.0,0.0,100.0,0.0,0.0,24.1208
ru_RU_zero,20.5168,6.052,14.8992,14.8983,15.5628,4.3163,11.8488,11.844,65.8759,69.7783,67.7392,6.5115,0.0,93.4885,0.0,0.0,48.1736
ru_translated,26.4879,8.3912,21.2928,21.2903,19.4755,6.2021,16.6391,16.6343,74.68,70.4021,72.4267,0.1543,0.0,99.8457,0.0,0.0,15.1599
