,en,es,ru,tr
en,0.4963,0.3291,0.1699,0.0047
es,0.3375,0.5227,0.1355,0.0043
ru,0.2721,0.2129,0.5099,0.0051
tr,0.1205,0.0962,0.139,0.6443
