,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_supervised,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_mono,5.1649,1.4617,4.6169,4.5582,4.834,1.3922,4.3816,4.3265,61.9842,66.2131,63.9676,9.3448,0.0015,90.4817,0.0,0.172,38.3589
tr_TR_en_XX_mono_10,33.6512,11.1921,26.5335,26.5066,32.2619,10.8348,25.6177,25.6004,76.419,75.6045,75.9495,99.1335,0.4644,0.0036,0.1114,0.2871,27.8394
tr_TR_en_XX_mono_100,35.2866,12.2391,28.0224,28.0035,34.0329,11.8808,27.1827,27.1849,77.2797,76.3683,76.7658,99.5722,0.2771,0.0243,0.1131,0.0133,27.7076
tr_TR_en_XX_mono_1000,37.9176,14.9216,31.0601,31.0539,36.3947,14.4736,30.0615,30.0465,78.6542,76.8961,77.7055,99.6189,0.1411,0.0752,0.1117,0.0531,25.336
tr_TR_en_XX_mono_adv_kldivloss,28.1078,8.256,22.3212,22.3232,26.7721,7.9168,21.5157,21.5161,74.1094,73.0068,73.4765,99.7517,0.1209,0.0097,0.0004,0.1172,28.3326
tr_TR_tr_TR_supervised,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_mono,2.6483,0.5261,2.5314,2.4674,2.5984,0.5134,2.4852,2.4194,58.767,61.2686,59.9561,5.8486,0.0,94.1514,0.0,0.0,45.7603
tr_TR_tr_TR_mono_10,21.7565,6.565,18.5796,18.5423,21.6079,6.5351,18.4468,18.4107,73.7843,71.429,72.5136,0.344,0.0468,0.0001,0.0,99.6092,19.1525
tr_TR_tr_TR_mono_100,25.9817,8.7364,21.9625,21.9498,25.848,8.7242,21.8655,21.8543,74.7606,73.7341,74.1778,0.0243,0.0974,0.0,0.0,99.8783,22.6456
tr_TR_tr_TR_mono_1000,28.2477,10.5782,24.3191,24.3111,28.1913,10.5738,24.2634,24.2607,76.032,74.141,74.9973,0.0248,0.0974,0.0,0.0,99.8778,20.8314
tr_TR_tr_TR_mono_adv_kldivloss,2.6067,0.4196,2.4026,2.3693,2.5326,0.4019,2.3353,2.2983,59.8498,61.6494,60.6991,36.576,37.5066,25.9174,0.0,0.0,60.8635
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
