,en,es,ru,tr
en_XX,0.9537,0.0266,0.018,0.0017
es_XX,0.0282,0.9525,0.0178,0.0014
ru_RU,0.0211,0.0214,0.956,0.0015
tr_TR,0.0151,0.0096,0.0078,0.9676
