,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
es_XX_ru_RU_mono_en_1000,16.8896,3.6391,13.9773,13.9583,16.8869,3.6371,13.9751,13.9556,74.1088,72.9166,73.4552,0.0,0.0,100.0,0.0,0.0,22.9688
es_XX_ru_RU_mono_en_10000,19.4163,5.2225,16.3092,16.2981,19.4135,5.2215,16.3077,16.297,75.4299,73.7033,74.5021,0.0,0.0,100.0,0.0,0.0,21.7221
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_supervised,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_mono,0.7078,0.1269,0.6672,0.6394,0.6925,0.1256,0.654,0.6247,60.5372,66.3222,63.2662,0.01,0.0,99.99,0.0,0.0,47.6919
ru_RU_en_XX_mono_10,31.3595,9.7145,25.4588,25.4683,29.7536,9.2602,24.3147,24.3241,77.1592,75.0634,76.0387,99.6805,0.1693,0.134,0.0003,0.0159,24.2057
ru_RU_en_XX_mono_100,32.7298,10.3139,26.2784,26.277,31.1008,9.8334,25.1417,25.1392,77.04,75.7526,76.3322,99.7458,0.1734,0.0734,0.0005,0.0069,25.9395
ru_RU_en_XX_mono_1000,33.4513,10.7295,26.7941,26.7959,31.7442,10.2431,25.5842,25.5846,77.2343,76.1665,76.6398,99.6888,0.1814,0.0988,0.0033,0.0278,26.749
