,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
es_translated_nllb,29.2257,8.5611,21.5024,21.5011,27.4854,8.102,20.5856,20.5831,,,,0.0152,99.9825,0.0018,0.0001,0.0004,21.63,27.7648,28.1068,28.4535,7.9632,8.2127,8.468,20.375,20.6745,20.9686,20.3796,20.6645,20.9654,26.1034,26.4339,26.796,7.537,7.7695,8.0136,19.5161,19.8093,20.1187,19.4919,19.7961,20.0755,73.2258,73.4142,73.5877,70.8293,70.9772,71.1264,71.9819,72.1279,72.278
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_IN_multiEnEsRu,17.8393,5.1664,15.9817,15.9522,17.8393,5.1664,15.9817,15.9522,,,,0.088,0.0,0.3521,99.5599,0.0,14.3724,16.1061,16.8578,17.6227,4.326,4.8536,5.4416,14.3489,15.0782,15.7916,14.3449,15.0447,15.7654,16.0783,16.8354,17.6244,4.3586,4.8598,5.3825,14.4116,15.0816,15.7669,14.2977,15.0637,15.7517,72.8607,73.1911,73.548,70.2123,70.4826,70.7791,71.464,71.7634,72.0417
gu_IN_multiEnEsRu_10,19.3946,5.8734,17.2088,17.1857,19.3946,5.8734,17.2088,17.1857,,,,0.0,0.0,0.0,100.0,0.0,17.6048,18.0009,18.6557,19.431,5.1071,5.6423,6.1797,15.8994,16.5638,17.2425,15.8548,16.5155,17.217,17.9719,18.6873,19.4166,5.131,5.6422,6.159,15.9078,16.5616,17.2228,15.8773,16.5406,17.1976,73.397,73.6953,74.0086,71.6853,71.9478,72.2353,72.4868,72.7672,73.0213
gu_IN_multiEnEsRu_100,20.6149,6.376,18.1958,18.1992,20.6149,6.376,18.1958,18.1992,,,,0.0,0.0,0.0,100.0,0.0,18.0211,19.252,19.9766,20.7408,5.6046,6.1731,6.7363,16.8994,17.5971,18.3279,16.8911,17.598,18.3442,19.2698,19.9514,20.7396,5.604,6.1597,6.7616,16.9401,17.6014,18.3109,16.9119,17.6149,18.3376,73.8526,74.1849,74.4969,72.6441,72.9178,73.2073,73.2022,73.5022,73.7768
gu_IN_multiEnEsRu_1000,21.4549,6.9054,19.1487,19.1312,21.4549,6.9054,19.1487,19.1312,,,,0.0,0.0,0.0,100.0,0.0,16.8081,19.9671,20.6721,21.4964,6.0733,6.6406,7.2617,17.7028,18.4492,19.2009,17.6553,18.4222,19.195,19.8867,20.6522,21.4607,6.0936,6.6398,7.2369,17.7214,18.4431,19.1994,17.7101,18.4374,19.1868,74.3868,74.7082,75.0281,72.7842,73.0733,73.3789,73.5327,73.8285,74.1342
gu_IN_supervised,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,,,,0.0,0.0,0.0,100.0,0.0,16.4991,20.7806,21.5108,22.3922,7.0981,7.7374,8.4231,18.4884,19.3011,20.1215,18.4733,19.2878,20.1686,20.7345,21.525,22.3386,7.0934,7.7324,8.4143,18.5827,19.3293,20.0907,18.4922,19.3171,20.0762,74.7434,75.1019,75.4325,73.12,73.4156,73.7274,73.8748,74.2053,74.4841
gu_IN_tuned_10,17.9325,5.1609,15.7861,15.7776,17.9325,5.1609,15.7861,15.7776,,,,0.0,0.0,0.0,100.0,0.0,16.5555,16.4827,17.1965,17.9234,4.4576,4.9104,5.4139,14.4663,15.1355,15.8031,14.4976,15.1327,15.7619,16.4664,17.1858,17.9037,4.4651,4.9254,5.4473,14.5472,15.1374,15.7583,14.5268,15.149,15.7738,72.848,73.1397,73.4552,70.7078,70.9778,71.2697,71.7171,71.9996,72.2738
gu_IN_tuned_100,19.0704,5.5046,16.8545,16.8551,19.0704,5.5046,16.8545,16.8551,,,,0.0,0.0,0.0,100.0,0.0,16.8864,17.608,18.2707,18.9616,4.7543,5.2463,5.735,15.5162,16.1707,16.8214,15.5707,16.1757,16.8169,17.6037,18.2919,19.0431,4.7905,5.265,5.7765,15.5465,16.1719,16.7579,15.5643,16.1874,16.8447,73.4551,73.7805,74.1021,71.7686,72.029,72.3025,72.5649,72.8498,73.1277
gu_IN_tuned_1000,20.9138,6.7355,18.5455,18.5186,20.9138,6.7355,18.5455,18.5186,,,,0.0,0.0,0.0,100.0,0.0,16.9639,19.4329,20.1581,20.9557,5.9158,6.4491,7.046,17.1986,17.86,18.595,17.1237,17.8369,18.5712,19.3095,20.1385,20.8537,5.8991,6.4557,7.0435,17.1936,17.893,18.5542,17.1327,17.8564,18.5403,73.9875,74.3178,74.6808,72.4978,72.777,73.0943,73.2029,73.4923,73.8041
gu_IN_zero,1.6453,0.3389,1.4839,1.418,1.6453,0.3389,1.4839,1.418,,,,86.6197,0.0,0.0,13.3803,0.0,61.3266,1.1838,1.3386,1.5199,0.2051,0.268,0.3467,1.0675,1.2139,1.3569,1.0185,1.15,1.2897,1.1768,1.3362,1.5284,0.1998,0.2661,0.3463,1.07,1.21,1.3622,1.019,1.1607,1.3051,58.3489,58.5394,58.7279,59.6167,59.8371,60.0421,58.9658,59.1483,59.3267
gu_translated_nllb,15.7477,3.3023,14.0973,14.0607,15.7477,3.3023,14.0973,14.0607,,,,0.0,0.0,0.0,100.0,0.0,16.3125,14.5654,15.1631,15.7494,2.8052,3.1764,3.538,13.0296,13.5647,14.0921,12.9657,13.5461,14.0755,14.5602,15.1695,15.8257,2.8234,3.1853,3.5252,12.9995,13.5666,14.1337,13.014,13.5348,14.1109,72.9214,73.2082,73.4933,70.9303,71.1911,71.4572,71.872,72.1339,72.3771
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_RU_multiEnEsRu,35.2828,15.3353,28.4036,28.3953,27.6433,12.1632,23.4243,23.4137,,,,0.0,0.0,100.0,0.0,0.0,17.2892,33.716,34.0587,34.3958,14.4843,14.7557,15.0695,27.0905,27.4205,27.7317,27.1082,27.4082,27.7148,26.3702,26.6946,27.0264,11.4428,11.724,12.01,22.3205,22.628,22.9346,22.3168,22.6065,22.9355,76.6757,76.8133,76.9576,73.3054,73.4273,73.5624,74.8949,75.031,75.1566
ru_RU_supervised,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,,,,0.0,0.0,100.0,0.0,0.0,17.8771,33.7954,34.128,34.4766,14.4562,14.7317,15.0367,27.1623,27.4831,27.8034,27.1558,27.4674,27.7713,26.5285,26.8689,27.1923,11.4539,11.727,11.9859,22.4518,22.7473,23.045,22.4208,22.7311,23.0449,76.6264,76.7718,76.9068,73.41,73.535,73.6678,74.924,75.0606,75.1924
ru_RU_tuned_10,29.6424,10.1739,23.2484,23.238,22.2854,7.5462,18.5,18.4868,,,,0.0,0.0,100.0,0.0,0.0,17.1224,28.1533,28.4568,28.7558,9.5169,9.7414,9.9709,22.0259,22.3258,22.5846,22.0382,22.3013,22.5509,21.1215,21.3935,21.6959,7.013,7.2275,7.4343,17.5142,17.7657,17.9941,17.4963,17.7385,17.9883,74.7152,74.8535,74.987,71.2387,71.3504,71.4629,72.9011,73.0154,73.1309
ru_RU_tuned_100,30.5728,10.9222,23.5757,23.5685,23.2621,8.1979,18.9604,18.9497,,,,0.0,0.0,100.0,0.0,0.0,19.5162,29.4247,29.7243,30.0193,10.3589,10.5954,10.8152,22.6412,22.924,23.1759,22.642,22.9078,23.1691,22.3314,22.6199,22.9007,7.7485,7.9541,8.1713,18.1834,18.4349,18.6876,18.1633,18.4159,18.6718,74.3367,74.4635,74.6011,72.0274,72.1475,72.2622,73.1213,73.2407,73.3509
ru_RU_tuned_1000,31.1637,11.5851,24.1506,24.144,23.9642,8.882,19.6086,19.5989,,,,0.0,0.0,100.0,0.0,0.0,21.7082,30.0958,30.4058,30.6966,11.0378,11.2737,11.5199,23.2662,23.5565,23.8265,23.2681,23.5349,23.8015,23.0775,23.3823,23.672,8.4317,8.6563,8.8715,18.8791,19.1275,19.3829,18.8623,19.1179,19.3918,73.8309,73.9546,74.0915,72.6225,72.7444,72.8642,73.182,73.2965,73.4107
ru_RU_tuned_10000,31.711,12.2601,24.5415,24.5328,24.6532,9.5042,20.1094,20.0973,,,,0.0,0.0,100.0,0.0,0.0,23.4435,30.7061,30.9981,31.2957,11.7473,11.9692,12.2043,23.7076,23.9946,24.259,23.7227,23.9765,24.2394,23.8277,24.1034,24.3949,9.0681,9.2854,9.5195,19.4076,19.6604,19.9308,19.4012,19.6437,19.9019,73.5829,73.7032,73.8342,73.0653,73.1896,73.3152,73.2831,73.3944,73.5145
ru_RU_zero,1.2164,0.2862,1.1477,1.1253,0.9823,0.2229,0.9441,0.9215,,,,97.6962,0.0,2.3038,0.0,0.0,59.4702,0.9931,1.04,1.0904,0.2219,0.2439,0.2627,0.9347,0.9799,1.0249,0.9163,0.9606,1.0022,0.7968,0.839,0.88,0.1742,0.1908,0.2071,0.7649,0.8047,0.8432,0.7471,0.7865,0.8231,63.431,63.4918,63.5506,65.114,65.1759,65.2437,64.2484,64.3061,64.3603
ru_translated_nllb,26.6982,8.5188,21.3088,21.3058,19.5671,6.2482,16.6283,16.623,,,,0.0,0.0,100.0,0.0,0.0,15.3014,25.0487,25.3395,25.6457,7.8529,8.0576,8.2617,19.9623,20.2247,20.4864,19.9584,20.2162,20.478,18.3125,18.5793,18.8303,5.7267,5.9192,6.0932,15.549,15.7962,16.0496,15.5354,15.7789,16.0299,74.4469,74.5822,74.7041,70.3985,70.5162,70.6333,72.3194,72.4381,72.5477
