,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
ru_RU_en_XX_mono_adv_kldivloss_tuned,33.1099,10.6243,26.2719,26.2831,31.4943,10.1681,25.1763,25.181,76.3446,75.9576,76.0907,99.8679,0.1183,0.0118,0.0002,0.0018,29.803,32.8647,33.1086,33.3614,10.4184,10.6265,10.8163,26.0451,26.2789,26.506,26.0497,26.2736,26.5209,31.2471,31.4957,31.7511,9.9871,10.1728,10.3666,24.9535,25.1789,25.4108,24.9473,25.1717,25.4186,76.243,76.3479,76.4399,75.8635,75.958,76.0588,76.0089,76.0928,76.1792
ru_RU_en_XX_supervised,36.0214,13.1479,29.4257,29.4205,34.1895,12.5225,28.0839,28.0992,78.5517,76.5013,77.4505,99.6526,0.2743,0.0339,0.0219,0.0174,23.604,35.7459,36.0165,36.2916,12.9346,13.1513,13.3773,29.1703,29.4216,29.6826,29.1937,29.4292,29.6865,33.9016,34.1854,34.4504,12.2952,12.5269,12.7291,27.8372,28.0939,28.3385,27.8452,28.0926,28.3628,78.454,78.55,78.6563,76.3954,76.5025,76.6098,77.3572,77.452,77.5428
ru_en_translated_nllb,34.6495,12.1924,28.4756,28.4687,32.8667,11.6032,27.19,27.168,78.6323,76.1092,77.2878,99.7056,0.2816,0.0077,0.0004,0.0047,22.2337,34.3744,34.6436,34.9205,11.9856,12.1984,12.4074,28.2379,28.4743,28.7359,28.2172,28.4637,28.7197,32.6114,32.8625,33.1509,11.3759,11.6126,11.8153,26.946,27.1815,27.4379,26.9122,27.1772,27.4184,78.5393,78.6312,78.7274,76.0096,76.113,76.2133,77.1967,77.2864,77.3702
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_TR_en_XX_mono_adv_kldivloss_tuned,32.066,10.2998,25.6635,25.6727,30.7253,9.9335,24.7964,24.7767,75.97,74.6243,75.2169,99.1418,0.7388,0.0,0.0,0.1194,26.2041,31.174,32.1151,32.9865,9.6617,10.3084,10.9858,24.8974,25.6892,26.4887,24.8443,25.6375,26.4229,29.8238,30.6664,31.5949,9.2789,9.9184,10.5798,23.9817,24.7976,25.5697,23.9482,24.758,25.5238,75.6413,75.9669,76.2892,74.2921,74.6295,74.9429,74.9183,75.2126,75.4985
tr_TR_en_XX_supervised,41.4454,18.1235,34.4704,34.523,39.8641,17.4805,33.2995,33.359,79.8226,77.9113,78.7925,99.2523,0.2413,0.3191,0.1146,0.0728,25.1112,40.394,41.436,42.5477,17.1383,18.0927,19.0576,33.509,34.4774,35.498,33.4243,34.4744,35.4879,38.804,39.8507,40.805,16.5556,17.4905,18.4266,32.2929,33.3285,34.3486,32.2981,33.3085,34.3273,79.4617,79.831,80.1995,77.5634,77.906,78.243,78.4543,78.7865,79.133
tr_TR_tr_TR_mono_adv_kldivloss_tuned,2.4417,0.3806,2.2864,2.2343,2.3956,0.367,2.2316,2.1711,59.8961,61.7367,60.7628,48.1651,20.9862,30.8486,0.0,0.0,59.2122,2.2214,2.4574,2.6982,0.3009,0.3801,0.4635,2.059,2.2845,2.5247,2.0165,2.2314,2.4395,2.1577,2.3923,2.6354,0.2973,0.3676,0.4482,2.0111,2.2273,2.4493,1.9666,2.174,2.3809,59.6921,59.8918,60.1024,61.5833,61.7367,61.8842,60.6195,60.76,60.9088
tr_TR_tr_TR_supervised,30.3126,12.2539,26.2406,26.2111,30.2029,12.206,26.1893,26.1487,76.43,74.6082,75.4395,0.0281,0.2744,0.0,0.0,99.6975,21.0826,29.243,30.3216,31.3398,11.4255,12.273,13.028,25.2859,26.2409,27.2357,25.2472,26.2189,27.2417,29.1886,30.23,31.3151,11.398,12.2206,13.0924,25.1504,26.1504,27.1436,25.2012,26.1423,27.18,76.0673,76.4292,76.7677,74.2586,74.598,74.912,75.1588,75.4366,75.7245
tr_en_translated_nllb,40.8598,16.9485,34.0643,34.0533,39.1489,16.337,32.8269,32.8106,79.9015,77.701,78.7234,99.3823,0.3803,0.2238,0.003,0.0106,24.7615,39.9001,40.8601,41.8385,16.122,16.9655,17.8319,33.2016,34.0652,35.0247,33.1133,34.0048,34.9094,38.1053,39.1538,40.1233,15.4544,16.2863,17.1913,31.9414,32.8437,33.7802,31.8436,32.8006,33.7487,79.5827,79.9047,80.2199,77.3369,77.6886,78.0504,78.4231,78.7263,79.044
tr_tr_translated_nllb,20.7045,5.826,18.4666,18.4094,20.5442,5.7594,18.322,18.2456,74.1171,72.4231,73.2105,0.1212,0.0586,0.0,0.0,99.8201,19.6571,19.9328,20.7226,21.4501,5.386,5.8382,6.3184,17.7494,18.467,19.2081,17.6581,18.3894,19.1185,19.778,20.5562,21.345,5.2623,5.7428,6.2275,17.5998,18.3205,19.0581,17.5103,18.2524,19.0163,73.8361,74.1182,74.4084,72.1328,72.4181,72.7138,72.9526,73.2075,73.4634
