,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.772,0.4551,2.5143,2.4492,2.6469,0.4425,2.3946,2.3332,60.183,61.5922,60.8385,100.0,0.0,0.0,0.0,0.0,65.3383
en_XX_tr_TR_mono_10,3.7447,0.7163,3.5058,3.4248,3.6189,0.7037,3.3811,3.3034,61.7283,61.014,61.2551,97.1515,1.3855,0.8583,0.0132,0.5916,40.4025
en_XX_tr_TR_mono_100,16.5481,3.6568,14.4212,14.3221,16.4765,3.6473,14.3598,14.2566,71.7682,69.059,70.3432,0.1659,0.1208,0.0097,0.0004,99.7031,18.2099
en_XX_tr_TR_mono_1000,21.4015,6.1175,18.463,18.4237,21.3351,6.0826,18.4065,18.3615,73.8983,71.2646,72.5081,0.3693,0.0848,0.0097,0.0004,99.5358,19.4014
en_XX_tr_TR_mono_adv_kldivloss,2.8034,0.4627,2.5703,2.5059,2.6885,0.4458,2.461,2.401,60.4204,61.7202,61.0244,97.5917,1.3761,1.0321,0.0,0.0,65.4656
en_XX_tr_TR_mono_adv_nll,2.7234,0.4449,2.5056,2.437,2.6092,0.4338,2.4045,2.3343,60.2089,61.7069,60.907,95.6422,0.5734,3.7844,0.0,0.0,66.0998
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.4128,0.1366,2.208,2.178,2.1841,0.1344,2.0119,1.9808,65.3169,70.4817,67.7615,0.0092,99.9908,0.0,0.0,0.0,62.1
es_XX_en_XX_mono_10,32.7599,10.0118,26.1849,26.1915,31.1304,9.5548,25.0809,25.0846,77.0291,75.2629,76.0782,99.2065,0.7311,0.042,0.0005,0.0198,26.2917
es_XX_en_XX_mono_100,33.5132,10.6198,26.9397,26.94,31.812,10.1335,25.7491,25.7515,77.3204,75.8218,76.5036,99.6152,0.3315,0.0186,0.0093,0.0254,25.8934
es_XX_en_XX_mono_1000,34.9708,11.5687,27.9444,27.9447,33.2075,11.024,26.7154,26.7162,77.695,76.4198,76.9929,99.76,0.1938,0.018,0.0091,0.019,27.2608
es_XX_en_XX_mono_10000,36.823,13.2095,29.7714,29.7676,35.03,12.6013,28.4782,28.4719,78.5999,76.795,77.6263,99.7231,0.2313,0.0225,0.0062,0.0169,25.7775
es_XX_en_XX_mono_adv_kldivloss,33.5762,10.4737,26.5497,26.5487,31.9927,10.0308,25.4871,25.4867,76.2389,75.8906,76.0079,99.3945,0.5908,0.0032,0.0001,0.0114,30.5171
es_XX_en_XX_mono_adv_nll,26.3463,7.9189,21.0572,21.0506,25.0253,7.5779,20.1428,20.1379,73.9753,74.4883,74.1589,76.5913,23.3924,0.0016,0.0001,0.0147,36.0783
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.6112,0.1147,0.5787,0.5461,0.6075,0.1143,0.5755,0.5431,63.6981,65.542,64.5776,0.0066,99.9934,0.0,0.0,0.0,64.3099
es_XX_ru_RU_mono_10,15.8226,3.9202,13.4653,13.4493,15.8197,3.9202,13.4639,13.4484,73.9729,71.8787,72.8561,0.0,0.0,100.0,0.0,0.0,20.2563
es_XX_ru_RU_mono_100,17.4034,4.2615,14.5927,14.5717,17.4007,4.2608,14.5913,14.5707,74.0992,72.9676,73.4781,0.0,0.0,100.0,0.0,0.0,22.9245
es_XX_ru_RU_mono_1000,18.6655,4.769,15.6247,15.6078,18.6632,4.7686,15.6239,15.6069,74.6115,73.46,73.9767,0.0,0.0,100.0,0.0,0.0,22.8621
es_XX_ru_RU_mono_10000,20.2293,5.8447,17.1409,17.1233,20.2272,5.8441,17.1404,17.1223,75.6762,73.896,74.7189,0.0,0.0,100.0,0.0,0.0,21.3222
es_XX_ru_RU_mono_adv_kldivloss,17.2814,4.2172,14.2478,14.2319,17.2746,4.2157,14.2451,14.2297,72.8325,72.8895,72.8085,0.0114,0.0687,99.9199,0.0,0.0,27.5058
es_XX_ru_RU_mono_adv_nll,10.7773,2.6251,9.1207,9.082,10.7726,2.6241,9.1162,9.0775,69.954,69.9115,69.8804,0.0109,36.2185,63.7706,0.0,0.0,38.0105
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.7439,0.1447,0.705,0.6787,0.7279,0.1433,0.6924,0.6659,60.6628,66.2861,63.3188,0.0,0.0,100.0,0.0,0.0,46.9396
ru_RU_en_XX_mono_10,30.5449,9.1874,24.7771,24.7833,29.0062,8.7652,23.672,23.6775,77.1966,74.5684,75.7998,99.5853,0.3709,0.0334,0.0003,0.0101,22.9249
ru_RU_en_XX_mono_100,32.0152,9.8344,25.6432,25.6575,30.3824,9.3922,24.5015,24.5109,76.9919,75.4499,76.155,99.6893,0.2205,0.0826,0.0005,0.0071,25.0173
ru_RU_en_XX_mono_1000,33.0969,10.5668,26.4803,26.4862,31.4112,10.0751,25.3031,25.3121,77.286,75.9418,76.5492,99.7613,0.191,0.0209,0.01,0.0168,25.9469
ru_RU_en_XX_mono_10000,34.7526,12.0989,28.2536,28.2637,33.0089,11.563,27.0177,27.0264,78.1518,76.2547,77.1316,99.7174,0.2373,0.0203,0.011,0.0141,24.1206
